Gene,logFC,p_value,-log10(p_value),Regulation
gene_52,0.5317825,0.066634804,1.1762989,Not Significant
gene_53,0.65252537,0.06138489,1.2119385,Not Significant
gene_54,0.28509986,0.43060544,0.36592048,Not Significant
gene_55,-0.33323452,0.17690498,0.75225997,Not Significant
gene_56,-0.2653282,0.44015172,0.3563976,Not Significant
gene_57,-0.7915165,0.093459494,1.0293766,Not Significant
gene_58,0.08951261,0.7439849,0.1284359,Not Significant
gene_59,0.037365835,0.9332073,0.030021885,Not Significant
gene_60,0.0042941747,0.9900014,0.0043642,Not Significant
gene_61,0.29560536,0.16016155,0.79544175,Not Significant
gene_62,0.12794363,0.73302245,0.13488272,Not Significant
gene_63,-0.5042846,0.16103397,0.7930825,Not Significant
gene_64,0.29827377,0.38723212,0.4120286,Not Significant
gene_65,0.06467119,0.8568419,0.067099296,Not Significant
gene_66,-0.1763332,0.61130005,0.21374556,Not Significant
gene_67,0.030945318,0.89232445,0.04947721,Not Significant
gene_68,0.4675022,0.16969529,0.7703302,Not Significant
gene_69,-0.11865161,0.66161805,0.17939265,Not Significant
gene_70,-0.023282649,0.9385492,0.027542947,Not Significant
gene_71,0.3900133,0.21177436,0.6741266,Not Significant
gene_72,0.12830918,0.65641385,0.18282226,Not Significant
gene_73,-0.3680923,0.3627792,0.44035763,Not Significant
gene_74,0.29266915,0.2769753,0.55755895,Not Significant
gene_75,-0.19873244,0.5021694,0.29914978,Not Significant
gene_76,-0.24142188,0.4022712,0.39548105,Not Significant
gene_77,-0.0063080234,0.97889763,0.009262722,Not Significant
gene_78,-0.078082934,0.7876031,0.10369259,Not Significant
gene_79,0.08752512,0.71800965,0.14386971,Not Significant
gene_80,0.30397,0.21081296,0.6761027,Not Significant
gene_81,-0.1937791,0.5505636,0.25919253,Not Significant
gene_82,0.22513418,0.4624936,0.33489427,Not Significant
gene_83,-0.105828606,0.7175899,0.14412367,Not Significant
gene_84,0.2720194,0.29930803,0.5238816,Not Significant
gene_85,0.019932663,0.9389918,0.027338207,Not Significant
gene_86,0.32911968,0.22327334,0.65116316,Not Significant
gene_87,0.822743,0.0019215954,2.7163382,Not Significant
gene_88,0.43067902,0.17533498,0.7561315,Not Significant
gene_89,-0.1357853,0.71198535,0.14752895,Not Significant
gene_90,0.22256519,0.47211736,0.32595003,Not Significant
gene_91,-0.24391675,0.43088472,0.3656389,Not Significant
gene_92,0.33160716,0.28041995,0.5521911,Not Significant
gene_93,-0.57301,0.14157033,0.84902775,Not Significant
gene_94,0.15708496,0.5205022,0.2835774,Not Significant
gene_95,-0.38003668,0.14761941,0.8308565,Not Significant
gene_96,0.16463476,0.6722195,0.17248888,Not Significant
gene_97,0.13610241,0.6658766,0.17660622,Not Significant
gene_98,0.030879043,0.9292804,0.03185322,Not Significant
gene_99,-0.33611533,0.2881212,0.5404248,Not Significant
gene_100,-0.04236207,0.85294837,0.06907726,Not Significant
gene_101,-0.032784343,0.9273744,0.032744884,Not Significant
gene_102,0.203134,0.40822616,0.38909918,Not Significant
gene_103,0.08090043,0.80412346,0.09467727,Not Significant
gene_104,-0.19335593,0.5706291,0.24364607,Not Significant
gene_105,-0.1494387,0.60462546,0.21851356,Not Significant
gene_106,-0.103883125,0.75036764,0.1247259,Not Significant
gene_107,0.014045472,0.97107345,0.01274792,Not Significant
gene_108,0.35333654,0.21612795,0.66528904,Not Significant
gene_109,-0.14248417,0.58541244,0.23253804,Not Significant
gene_110,-0.11963712,0.72493166,0.13970293,Not Significant
gene_111,-0.24162771,0.580556,0.2361559,Not Significant
gene_112,-0.39626566,0.08497718,1.0706977,Not Significant
gene_113,-0.3358107,0.1975307,0.7043654,Not Significant
gene_114,-0.1204785,0.69475406,0.1581689,Not Significant
gene_115,-0.25351483,0.34942582,0.456645,Not Significant
gene_116,-0.15522489,0.50585884,0.29597065,Not Significant
gene_117,0.24422601,0.43724075,0.35927936,Not Significant
gene_118,0.028269848,0.92947984,0.031760026,Not Significant
gene_119,-0.5207032,0.45176095,0.3450913,Not Significant
gene_120,-0.16133256,0.6360007,0.19654241,Not Significant
gene_121,0.21638235,0.42391562,0.37272057,Not Significant
gene_122,0.13760321,0.6057472,0.21770857,Not Significant
gene_123,-0.32082266,0.2833843,0.54762423,Not Significant
gene_124,0.075616665,0.81829935,0.087087795,Not Significant
gene_125,-0.24673393,0.40161788,0.39618695,Not Significant
gene_126,-0.60805506,0.06940132,1.1586323,Not Significant
gene_127,0.1704677,0.64811444,0.1883483,Not Significant
gene_128,-0.25039485,0.35102022,0.45466787,Not Significant
gene_129,0.20925371,0.45058304,0.34622517,Not Significant
gene_130,-0.12934284,0.73560905,0.13335294,Not Significant
gene_131,-0.1092463,0.6412333,0.19298391,Not Significant
gene_132,-0.061879005,0.8135605,0.08961015,Not Significant
gene_133,-0.07469892,0.79240704,0.10105167,Not Significant
gene_134,0.2965787,0.25432137,0.5946171,Not Significant
gene_135,-0.01920206,0.94944084,0.022532092,Not Significant
gene_136,0.36181378,0.2639763,0.57843506,Not Significant
gene_137,0.4158949,0.10959211,0.9602207,Not Significant
gene_138,-0.36792034,0.11845481,0.92644733,Not Significant
gene_139,-0.16091964,0.5999332,0.2218971,Not Significant
gene_140,0.51820946,0.071916156,1.1431736,Not Significant
gene_141,0.15017824,0.6248337,0.20423555,Not Significant
gene_142,0.09444913,0.7523613,0.12357356,Not Significant
gene_143,-0.14401616,0.7185814,0.14352404,Not Significant
gene_144,-0.029633807,0.90853405,0.041658793,Not Significant
gene_145,0.34288627,0.40468407,0.3928839,Not Significant
gene_146,-0.07800009,0.7670665,0.115167,Not Significant
gene_147,-0.05595242,0.8859337,0.05259878,Not Significant
gene_148,-0.016920324,0.9557169,0.01967073,Not Significant
gene_149,-0.31997827,0.28613508,0.5434289,Not Significant
gene_150,-0.1610936,0.59575987,0.22492875,Not Significant
gene_151,-0.14855294,0.59803337,0.22327459,Not Significant
gene_152,0.21994652,0.55266595,0.2575373,Not Significant
gene_153,-0.13539493,0.6552903,0.18356626,Not Significant
gene_154,-0.45796058,0.088719584,1.0519805,Not Significant
gene_155,-0.022828834,0.9378158,0.027882462,Not Significant
gene_156,0.028769318,0.9316476,0.030748332,Not Significant
gene_157,-0.33981887,0.33355826,0.4768283,Not Significant
gene_158,-0.25800836,0.4926484,0.30746293,Not Significant
gene_159,-0.4808093,0.15314162,0.8149068,Not Significant
gene_160,0.81138086,0.12553583,0.9012323,Not Significant
gene_161,0.071996026,0.7604207,0.11894608,Not Significant
gene_162,-0.2378762,0.46173933,0.33560312,Not Significant
gene_163,0.12173753,0.64871085,0.18794884,Not Significant
gene_164,0.4258756,0.1521099,0.8178425,Not Significant
gene_165,0.4176419,0.16753346,0.77589846,Not Significant
gene_166,-0.4842294,0.15088697,0.82134825,Not Significant
gene_167,0.38483745,0.2259839,0.6459225,Not Significant
gene_168,0.13494079,0.5831334,0.23423208,Not Significant
gene_169,-0.61648464,0.08681456,1.0614074,Not Significant
gene_170,0.052044313,0.84367657,0.07382401,Not Significant
gene_171,0.22949652,0.5371723,0.26988637,Not Significant
gene_172,0.19755052,0.44277287,0.353819,Not Significant
gene_173,0.7636256,0.04417586,1.354815,Not Significant
gene_174,-0.25992954,0.30772853,0.51183224,Not Significant
gene_175,0.6252513,0.08339058,1.078883,Not Significant
gene_176,0.2987397,0.30954617,0.50927454,Not Significant
gene_177,0.46088448,0.16427693,0.7844234,Not Significant
gene_178,-0.49105632,0.2005657,0.69774336,Not Significant
gene_179,0.3925754,0.24947059,0.6029806,Not Significant
gene_180,0.13780819,0.6432786,0.1916009,Not Significant
gene_181,0.20545752,0.46990997,0.32798535,Not Significant
gene_182,0.99111897,0.061173953,1.2134335,Not Significant
gene_183,-0.23210368,0.45515847,0.34183738,Not Significant
gene_184,-0.03222773,0.92236227,0.03509847,Not Significant
gene_185,0.06713065,0.836948,0.07730154,Not Significant
gene_186,0.13351718,0.66223884,0.17898536,Not Significant
gene_187,0.41491386,0.3037188,0.5175283,Not Significant
gene_188,0.32144395,0.37990248,0.42032787,Not Significant
gene_189,0.124235064,0.74294823,0.12904145,Not Significant
gene_190,-0.01463227,0.96037745,0.017558044,Not Significant
gene_191,-0.3056212,0.39128348,0.4075085,Not Significant
gene_192,-0.7930845,0.090616435,1.042793,Not Significant
gene_193,-0.7015917,0.036490507,1.4378201,Not Significant
gene_194,-0.061248317,0.8530457,0.0690277,Not Significant
gene_195,0.27138394,0.31379437,0.50335485,Not Significant
gene_196,-0.39013934,0.15302017,0.8152513,Not Significant
gene_197,0.05481464,0.8537245,0.06868227,Not Significant
gene_198,0.21881603,0.4307324,0.36579245,Not Significant
gene_199,-0.5188642,0.15986985,0.7962334,Not Significant
gene_200,0.097395256,0.7412345,0.13004439,Not Significant
gene_201,-0.30240092,0.30690986,0.51298916,Not Significant
gene_202,0.10640341,0.71489257,0.14575922,Not Significant
gene_203,-0.4387574,0.11850596,0.9262598,Not Significant
gene_204,0.21330638,0.56644726,0.24684052,Not Significant
gene_205,0.12359273,0.6274939,0.20239048,Not Significant
gene_206,0.3095298,0.34825212,0.45810622,Not Significant
gene_207,0.19634762,0.457009,0.34007525,Not Significant
gene_208,0.2892598,0.35652024,0.44791582,Not Significant
gene_209,0.19224222,0.5307602,0.27510163,Not Significant
gene_210,0.16803744,0.514293,0.28878936,Not Significant
gene_211,0.21379706,0.4919165,0.3081086,Not Significant
gene_212,0.14497821,0.7160649,0.14504763,Not Significant
gene_213,-0.02020064,0.9603224,0.01758295,Not Significant
gene_214,0.026106957,0.91683066,0.03771087,Not Significant
gene_215,-0.15887563,0.6820116,0.16620824,Not Significant
gene_216,0.03128842,0.91976166,0.0363247,Not Significant
gene_217,0.29760298,0.44523436,0.35141134,Not Significant
gene_218,-0.5905294,0.022334905,1.6510159,Not Significant
gene_219,-0.2500812,0.4343049,0.36220527,Not Significant
gene_220,0.5056407,0.18134573,0.7414927,Not Significant
gene_221,0.09789496,0.83698964,0.07727992,Not Significant
gene_222,0.40585053,0.17711523,0.7517441,Not Significant
gene_223,0.1869872,0.5699868,0.24413519,Not Significant
gene_224,0.33315405,0.27784202,0.55620205,Not Significant
gene_225,0.52064246,0.082128234,1.0855075,Not Significant
gene_226,-0.31324905,0.43064478,0.36588082,Not Significant
gene_227,-0.09543922,0.7829775,0.1062507,Not Significant
gene_228,0.5704848,0.020853436,1.6808224,Not Significant
gene_229,0.42009184,0.18673262,0.7287798,Not Significant
gene_230,-0.021452893,0.94860256,0.02291571,Not Significant
gene_231,-0.3063165,0.22957739,0.63907087,Not Significant
gene_232,0.6589957,0.031069033,1.5076723,Not Significant
gene_233,0.22435252,0.43470755,0.36180282,Not Significant
gene_234,-0.085572496,0.74756217,0.12635268,Not Significant
gene_235,0.35132572,0.22355899,0.6506079,Not Significant
gene_236,-0.32015443,0.37320232,0.42805567,Not Significant
gene_237,0.5252634,0.088788256,1.0516444,Not Significant
gene_238,0.15344028,0.7039716,0.15244484,Not Significant
gene_239,0.03338603,0.89744663,0.046991367,Not Significant
gene_240,-0.058949176,0.8346438,0.07849884,Not Significant
gene_241,0.6054764,0.009921821,2.0034087,Not Significant
gene_242,-0.034837253,0.91509235,0.038535077,Not Significant
gene_243,0.09345127,0.72893727,0.13730985,Not Significant
gene_244,0.113669716,0.6714404,0.17299251,Not Significant
gene_245,0.59606534,0.009422461,2.0258358,Not Significant
gene_246,0.47054213,0.20808953,0.68174976,Not Significant
gene_247,-0.7360613,0.045751445,1.3395952,Not Significant
gene_248,-0.073674865,0.8324777,0.079627395,Not Significant
gene_249,0.33916628,0.21801084,0.6615219,Not Significant
gene_250,-0.02996972,0.93744576,0.028053852,Not Significant
gene_251,-0.11900959,0.565784,0.24734935,Not Significant
gene_252,-0.12654327,0.7201115,0.14260025,Not Significant
gene_253,0.40934595,0.17874426,0.7477679,Not Significant
gene_254,0.1450392,0.5890183,0.22987123,Not Significant
gene_255,-0.023474012,0.92906713,0.031952903,Not Significant
gene_256,0.050708633,0.83080846,0.08049909,Not Significant
gene_257,0.3971849,0.24612604,0.60884243,Not Significant
gene_258,-0.3839973,0.20262076,0.69331604,Not Significant
gene_259,0.2291539,0.55930465,0.25235155,Not Significant
gene_260,-0.091247946,0.7265604,0.13872826,Not Significant
gene_261,0.5375647,0.16840155,0.7736539,Not Significant
gene_262,-0.033718858,0.9235528,0.034538265,Not Significant
gene_263,0.27542204,0.3057658,0.51461107,Not Significant
gene_264,0.39492399,0.28134754,0.5507569,Not Significant
gene_265,-0.022132328,0.94747853,0.023430621,Not Significant
gene_266,0.41508642,0.35864744,0.44533226,Not Significant
gene_267,0.17632374,0.4918861,0.30813545,Not Significant
gene_268,-0.28478968,0.37745962,0.4231295,Not Significant
gene_269,0.09104212,0.75198996,0.123787954,Not Significant
gene_270,0.12980278,0.6865256,0.16334328,Not Significant
gene_271,-0.68913776,0.02939514,1.5317245,Not Significant
gene_272,-0.31390584,0.30920517,0.5097532,Not Significant
gene_273,-0.10746584,0.7803239,0.10772508,Not Significant
gene_274,-0.14316402,0.6728905,0.17205562,Not Significant
gene_275,-0.14730325,0.6501464,0.18698882,Not Significant
gene_276,0.5618832,0.08805862,1.0552281,Not Significant
gene_277,-0.02212315,0.94018984,0.026784446,Not Significant
gene_278,-0.37056956,0.265561,0.5758357,Not Significant
gene_279,-0.13166317,0.5810338,0.23579858,Not Significant
gene_280,-0.4803023,0.13785104,0.8605899,Not Significant
gene_281,0.111804076,0.6747496,0.17085735,Not Significant
gene_282,-0.4098626,0.16110776,0.7928835,Not Significant
gene_283,0.13056757,0.638179,0.19505748,Not Significant
gene_284,-0.24344856,0.49280247,0.30732712,Not Significant
gene_285,0.14077117,0.6145263,0.21145955,Not Significant
gene_286,0.24677566,0.57464087,0.24060349,Not Significant
gene_287,0.573122,0.0885978,1.052577,Not Significant
gene_288,0.76683027,0.09770775,1.010071,Not Significant
gene_289,-0.5453726,0.12218177,0.91299355,Not Significant
gene_290,0.45843157,0.07683563,1.1144373,Not Significant
gene_291,-0.080098495,0.7962217,0.098966,Not Significant
gene_292,0.28630632,0.4605549,0.3367186,Not Significant
gene_293,1.0489687,0.105654314,0.9761128,Not Significant
gene_294,0.29220903,0.35898367,0.4449253,Not Significant
gene_295,0.12628876,0.7648264,0.11643712,Not Significant
gene_296,0.30042014,0.450844,0.34597373,Not Significant
gene_297,0.24991749,0.3642754,0.43857017,Not Significant
gene_298,-0.031209465,0.90258247,0.044513106,Not Significant
gene_299,-0.0730859,0.7775671,0.10926213,Not Significant
tumor protein p53,1.419533,0.02777038,1.5564182,Upregulated
TP53 regulated inhibitor of apoptosis 1,1.469664,0.0001694953,3.7708423,Upregulated
TP53 induced glycolysis regulatory phosphatase,1.3958384,0.0029946042,2.5236607,Upregulated
TP53 induced nuclear protein 1,1.5994363,1.549354e-06,5.8098493,Upregulated
TP53 target 1,1.6278683,3.7776395e-08,7.4227796,Upregulated
mitogen-activated protein kinase 1,1.5216062,0.00029116144,3.535866,Upregulated
C-C motif chemokine ligand 5,1.3046807,0.00022007976,3.65742,Upregulated
stathmin 1,1.5188605,2.9964936e-05,4.5233865,Upregulated
cyclin dependent kinase 8,0.90249217,0.013956771,1.8552151,Not Significant
BCL2 like 11,1.7183056,0.0012518726,2.9024398,Upregulated
