Comparison,Gene,logFC,p_value,-log10(p_value),Regulation
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_055,-0.19805193,0.34068578,0.467646,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_062,0.15110779,0.34798843,0.4584352,Not Significant
Osteosarcoma vs Leiomyosarcoma,MKI67,-0.16753721,0.36266628,0.4404928,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_173,0.15669107,0.36930162,0.4326188,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_115,0.1594305,0.3838159,0.415877,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_087,0.1743555,0.3943853,0.40407926,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_162,-0.1532135,0.39581984,0.40250245,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_093,0.15003014,0.39993006,0.39801595,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_075,0.12693787,0.41203308,0.3850679,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_042,0.1576314,0.4214726,0.37523064,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_138,0.14141083,0.42958108,0.36695486,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_161,-0.15516138,0.43486407,0.36164647,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_132,0.15314579,0.43955952,0.35698232,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_013,-0.1751728,0.44369763,0.3529129,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_040,-0.13736534,0.44697177,0.3497199,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_063,-0.1410675,0.4548686,0.34211403,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_122,-0.15147877,0.4630634,0.33435956,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_050,0.14152431,0.46796805,0.3297838,Not Significant
Osteosarcoma vs Leiomyosarcoma,CCND1,-0.13739252,0.47894612,0.31971335,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_061,0.12598944,0.48156887,0.3173416,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_070,0.14979029,0.48277757,0.31625292,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_164,-0.13468504,0.48402002,0.31513667,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_125,-0.14171124,0.49309745,0.30706725,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_083,-0.13987255,0.503007,0.29842597,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_034,0.1131978,0.50325835,0.29820904,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_130,0.118142605,0.50461644,0.2970386,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_113,-0.13082981,0.5059717,0.29587376,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_003,0.10040665,0.5090232,0.29326242,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_169,-0.12059021,0.5173576,0.28620917,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_174,-0.1101284,0.51914215,0.28471372,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_014,-0.13552618,0.52841246,0.27702695,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_039,-0.11689329,0.5317286,0.27430996,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_036,0.120845795,0.53468764,0.27189988,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_076,-0.12320995,0.53670335,0.2702657,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_117,0.09770632,0.5402429,0.26741093,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_160,0.12587023,0.54400855,0.26439428,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_101,-0.11656284,0.54417735,0.26425955,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_017,0.1282525,0.5484916,0.26083001,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_019,-0.10595703,0.54943043,0.2600873,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_072,-0.09695387,0.5495724,0.25997508,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_052,-0.13194752,0.5497403,0.25984243,Not Significant
Osteosarcoma vs Leiomyosarcoma,CDKN2A,0.12315941,0.5523483,0.257787,Not Significant
Osteosarcoma vs Leiomyosarcoma,PPARG,-0.11676359,0.55392694,0.2565475,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_066,-0.10656071,0.5545099,0.25609073,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_121,0.11160803,0.55585706,0.25503686,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_009,-0.10227394,0.5743682,0.24080963,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_107,-0.10770893,0.57832956,0.23782462,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_104,-0.10251284,0.57898736,0.23733093,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_144,-0.106441975,0.57956284,0.23689948,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_163,0.08284998,0.6057317,0.21771969,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_146,-0.1079669,0.60846883,0.21576168,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_119,0.109313965,0.6144286,0.2115286,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_089,-0.101025105,0.618474,0.20867854,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_032,0.08502674,0.6242632,0.20463225,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_099,-0.08714676,0.6399191,0.19387493,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_103,-0.084358215,0.6457975,0.18990365,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_079,-0.10108614,0.6463624,0.1895239,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_004,-0.094168186,0.6465843,0.18937486,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_098,0.084376335,0.6521041,0.18568309,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_073,0.08570433,0.6561769,0.18297905,Not Significant
Osteosarcoma vs Leiomyosarcoma,MYOD1,-0.08147001,0.6620152,0.17913204,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_031,-0.08383083,0.66209036,0.17908275,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_150,-0.07673216,0.66250086,0.17881356,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_053,0.07646704,0.6639728,0.17784972,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_100,-0.09251499,0.6678416,0.17532653,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_080,0.07913399,0.67273563,0.17215557,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_046,-0.07943916,0.68490237,0.16437133,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_140,0.06815863,0.6898953,0.16121683,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_143,0.09183931,0.6969974,0.15676884,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_165,0.081235886,0.6971032,0.15670292,Not Significant
Osteosarcoma vs Leiomyosarcoma,LPL,0.07754946,0.70427734,0.15225628,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_021,-0.07494688,0.70877695,0.14949042,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_167,0.06741285,0.7098286,0.14884649,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_153,-0.064064026,0.7145032,0.14599581,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_006,-0.07446289,0.71714646,0.14439215,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_177,-0.059000492,0.72216356,0.14136443,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_078,0.070026875,0.7236934,0.14044541,Not Significant
Osteosarcoma vs Leiomyosarcoma,HMGA2,-0.059669495,0.72723705,0.138324,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_094,0.07672119,0.7282653,0.13771039,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_123,-0.05680847,0.7310567,0.13604896,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_158,-0.065876484,0.7377016,0.13211928,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_092,-0.062328815,0.73902386,0.13134153,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_033,-0.06033945,0.74670565,0.12685056,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_005,-0.05815649,0.7546236,0.12226963,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_151,0.0550766,0.75738305,0.12068442,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_002,-0.05782938,0.7687655,0.11420611,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_175,-0.046340466,0.7692134,0.113953166,Not Significant
Osteosarcoma vs Leiomyosarcoma,PAX3,-0.054651737,0.76959336,0.113738686,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_082,0.055724144,0.78159356,0.10701903,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_026,-0.049058437,0.78214264,0.10671404,Not Significant
Osteosarcoma vs Leiomyosarcoma,ADIPOQ,0.056021214,0.7846608,0.10531803,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_136,0.054535866,0.7986108,0.097664826,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_114,0.0467,0.80081445,0.0964681,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_043,-0.064035416,0.80370784,0.0949018,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_148,-0.04970932,0.80776054,0.09271737,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_020,-0.047964096,0.8088649,0.092124015,Not Significant
Osteosarcoma vs Leiomyosarcoma,MYF5,0.04264784,0.8135761,0.089601815,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_059,0.043683052,0.8320027,0.07987527,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_012,-0.03757763,0.8335447,0.07907113,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_141,-0.038559914,0.83512163,0.07825027,Not Significant
Osteosarcoma vs Leiomyosarcoma,RB1,0.040692806,0.8375411,0.076993875,Not Significant
Osteosarcoma vs Leiomyosarcoma,TNNT3,0.037866592,0.8453981,0.07293872,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_048,-0.033923626,0.8497735,0.07069681,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_127,-0.028655529,0.8518735,0.069624886,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_068,-0.031220436,0.85656935,0.067237474,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_176,0.034953594,0.858149,0.066437304,Not Significant
Osteosarcoma vs Leiomyosarcoma,CDK4,-0.03118515,0.8680666,0.06144695,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_152,0.03137207,0.8732593,0.058856778,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_074,0.026279926,0.88145626,0.054799236,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_085,-0.026584625,0.8892688,0.05096694,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_035,0.026679039,0.89272296,0.049283292,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_030,0.022798538,0.89366037,0.048827503,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_168,-0.024674892,0.89813167,0.04665999,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_155,-0.024392605,0.9066345,0.042567756,Not Significant
Osteosarcoma vs Leiomyosarcoma,TP53,-0.02176857,0.9081632,0.041836105,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_145,0.021247864,0.91011924,0.04090171,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_126,0.015486717,0.92869705,0.032125935,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_166,-0.016263008,0.92964125,0.03168462,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_007,-0.011522293,0.94901717,0.02272593,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_133,0.009284973,0.9536514,0.020610338,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_118,0.00985384,0.95571154,0.019673169,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_081,0.010016441,0.9574415,0.018887749,Not Significant
Osteosarcoma vs Leiomyosarcoma,MMP9,-0.00944519,0.96087956,0.017331043,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_044,0.008065224,0.9693618,0.013514107,Not Significant
Osteosarcoma vs Leiomyosarcoma,MYOG,-0.0077581406,0.9738618,0.011502664,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_102,-0.005451679,0.9769023,0.010148865,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_067,-0.0038480759,0.9835959,0.007183287,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_134,-0.0036745071,0.9837888,0.007098132,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_139,-0.0042562485,0.98402643,0.006993236,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_110,0.0033869743,0.9882325,0.0051408703,Not Significant
Osteosarcoma vs Leiomyosarcoma,SARC_GENE_047,-0.0020451546,0.99276465,0.0031536946,Not Significant
Osteosarcoma vs Leiomyosarcoma,PAX7,0.0018591881,0.99293476,0.003079284,Not Significant
Osteosarcoma vs Liposarcoma,MDM2,-2.9498262,5.962928e-25,24.22454,Higher in Liposarcoma
Osteosarcoma vs Liposarcoma,IBSP,3.1026325,2.4350357e-24,23.613495,Higher in Osteosarcoma
Osteosarcoma vs Liposarcoma,CDK4,-3.0839682,1.7327759e-23,22.761257,Higher in Liposarcoma
Osteosarcoma vs Liposarcoma,ALPL,2.954064,9.944587e-23,22.002413,Higher in Osteosarcoma
Osteosarcoma vs Liposarcoma,HMGA2,-2.3790994,3.6729865e-21,20.43498,Higher in Liposarcoma
Osteosarcoma vs Liposarcoma,PPARG,-2.7616253,5.0569222e-21,20.296114,Higher in Liposarcoma
Osteosarcoma vs Liposarcoma,FABP4,-2.7734833,2.1048889e-20,19.676771,Higher in Liposarcoma
Osteosarcoma vs Liposarcoma,COL1A1,2.669167,7.737051e-20,19.111425,Higher in Osteosarcoma
Osteosarcoma vs Liposarcoma,MMP13,2.1979837,1.5036448e-17,16.822855,Higher in Osteosarcoma
Osteosarcoma vs Liposarcoma,RUNX2,2.625708,3.275186e-17,16.484764,Higher in Osteosarcoma
Osteosarcoma vs Liposarcoma,LPL,-2.0277734,5.025828e-16,15.298793,Higher in Liposarcoma
Osteosarcoma vs Liposarcoma,SP7,2.056089,2.4711936e-15,14.607093,Higher in Osteosarcoma
Osteosarcoma vs Liposarcoma,ADIPOQ,-1.980557,3.5520642e-15,14.449519,Higher in Liposarcoma
Osteosarcoma vs Liposarcoma,BGLAP,2.3643556,1.3705911e-14,13.863092,Higher in Osteosarcoma
Osteosarcoma vs Liposarcoma,CEBPA,-1.8911219,1.4718192e-13,12.832146,Higher in Liposarcoma
Osteosarcoma vs Liposarcoma,VEGFA,2.295034,3.0534937e-12,11.5152025,Higher in Osteosarcoma
Osteosarcoma vs Liposarcoma,SARC_GENE_058,-0.6530814,0.00035812633,3.4459639,Not Significant
Osteosarcoma vs Liposarcoma,MYH11,-0.5229063,0.0022685565,2.6442504,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_170,-0.4797101,0.0054723653,2.2618248,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_071,-0.5758991,0.007333054,2.134715,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_142,-0.49195147,0.008471126,2.072059,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_091,0.51697636,0.0098401625,2.0069978,Not Significant
Osteosarcoma vs Liposarcoma,TPM2,0.47848892,0.010096484,1.9958298,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_172,0.4809785,0.010807767,1.966264,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_128,0.44402313,0.015464365,1.8106679,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_008,-0.51178503,0.025161551,1.5992626,Not Significant
Osteosarcoma vs Liposarcoma,BCL2,0.40940475,0.035169803,1.45383,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_037,-0.419003,0.048878577,1.3108815,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_177,-0.3923173,0.050371002,1.2978194,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_157,0.41176033,0.054822195,1.2610435,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_016,0.33449745,0.063434646,1.1976736,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_167,0.33808565,0.06449694,1.1904609,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_048,-0.35485125,0.06602404,1.1802979,Not Significant
