Subtype,Gene,logFC,p_value,-log10(p_value),Regulation
Osteosarcoma,SARC_GENE_170,-0.34760666,0.029871564,1.524742,Not Significant
Osteosarcoma,SARC_GENE_128,0.35355473,0.035518277,1.4495481,Not Significant
Osteosarcoma,SARC_GENE_178,0.28817225,0.038586542,1.4135642,Not Significant
Osteosarcoma,SARC_GENE_159,0.31762123,0.042211168,1.3745726,Not Significant
Osteosarcoma,CEBPA,-0.40710592,0.04830803,1.3159807,Not Significant
Osteosarcoma,SARC_GENE_051,-0.290195,0.0498974,1.3019221,Not Significant
Osteosarcoma,SARC_GENE_084,0.31189156,0.053302675,1.2732509,Not Significant
Osteosarcoma,BCL2,0.3081584,0.057077445,1.2435355,Not Significant
Osteosarcoma,SARC_GENE_064,-0.3036151,0.060759112,1.2163886,Not Significant
Osteosarcoma,SARC_GENE_018,0.2905674,0.063854314,1.1948098,Not Significant
Osteosarcoma,SARC_GENE_088,-0.31487703,0.07059994,1.1511956,Not Significant
Osteosarcoma,MMP2,0.2793126,0.0850506,1.0703226,Not Significant
Osteosarcoma,SARC_GENE_049,0.22573805,0.08875409,1.0518117,Not Significant
Osteosarcoma,SARC_GENE_065,0.2657566,0.098580725,1.006208,Not Significant
Osteosarcoma,SARC_GENE_073,0.26276302,0.099349484,1.0028343,Not Significant
Osteosarcoma,SARC_GENE_011,-0.24631596,0.10499759,0.9788207,Not Significant
Osteosarcoma,SARC_GENE_016,0.25359583,0.10893891,0.96281695,Not Significant
Osteosarcoma,SARC_GENE_137,0.22743273,0.11920039,0.9237223,Not Significant
Osteosarcoma,SARC_GENE_048,-0.22227955,0.120236605,0.9199633,Not Significant
Osteosarcoma,SARC_GENE_122,-0.279891,0.12083707,0.91779983,Not Significant
Osteosarcoma,SARC_GENE_028,0.26252317,0.1255156,0.90130234,Not Significant
Osteosarcoma,SARC_GENE_010,0.27597046,0.13863531,0.85812616,Not Significant
Osteosarcoma,SARC_GENE_045,-0.22704268,0.13947542,0.8555023,Not Significant
Osteosarcoma,SARC_GENE_171,0.20781422,0.14394881,0.8417919,Not Significant
Osteosarcoma,SARC_GENE_021,-0.22456789,0.1463968,0.8344684,Not Significant
Osteosarcoma,SARC_GENE_113,-0.22449684,0.15389036,0.8127886,Not Significant
Osteosarcoma,SARC_GENE_109,-0.24058485,0.15460151,0.81078625,Not Significant
Osteosarcoma,SARC_GENE_092,-0.21223164,0.16045734,0.7946404,Not Significant
Osteosarcoma,SARC_GENE_062,0.19940186,0.16814235,0.77432287,Not Significant
Osteosarcoma,SARC_GENE_099,-0.19847298,0.17184667,0.7648589,Not Significant
Osteosarcoma,SARC_GENE_076,-0.22535849,0.17920595,0.7466476,Not Significant
Osteosarcoma,SARC_GENE_017,0.22614098,0.1796482,0.7455771,Not Significant
Osteosarcoma,MKI67,-0.20533991,0.18121175,0.74181366,Not Significant
Osteosarcoma,SARC_GENE_034,0.19157887,0.18869199,0.72424656,Not Significant
Osteosarcoma,SARC_GENE_077,-0.23298693,0.18995243,0.72135514,Not Significant
Osteosarcoma,SARC_GENE_061,0.1744051,0.1904847,0.7201399,Not Significant
Osteosarcoma,SARC_GENE_135,0.19944477,0.19514513,0.7096423,Not Significant
Osteosarcoma,SARC_GENE_124,0.22150755,0.1955975,0.7086367,Not Significant
Osteosarcoma,SARC_GENE_066,-0.19149351,0.20342898,0.69158715,Not Significant
Osteosarcoma,SARC_GENE_164,-0.19316292,0.20657174,0.6849291,Not Significant
Osteosarcoma,SARC_GENE_030,0.16894436,0.21229343,0.67306346,Not Significant
Osteosarcoma,SARC_GENE_041,0.16992188,0.21571615,0.6661173,Not Significant
Osteosarcoma,SARC_GENE_012,-0.18508482,0.22307073,0.65155745,Not Significant
Osteosarcoma,SARC_GENE_173,0.17041397,0.22374041,0.65025556,Not Significant
Osteosarcoma,CDKN2A,0.21138573,0.22453651,0.64871305,Not Significant
Osteosarcoma,SARC_GENE_022,0.21244049,0.2403842,0.6190941,Not Significant
Osteosarcoma,SARC_GENE_179,0.15501833,0.25350472,0.59601396,Not Significant
Osteosarcoma,SARC_GENE_116,-0.18033361,0.2547001,0.5939709,Not Significant
Osteosarcoma,SARC_GENE_120,-0.19321156,0.25614423,0.5915154,Not Significant
Osteosarcoma,SARC_GENE_027,-0.16861677,0.25843197,0.58765376,Not Significant
Osteosarcoma,SARC_GENE_044,-0.18466234,0.26602158,0.57508314,Not Significant
Osteosarcoma,SARC_GENE_131,-0.18681002,0.2893062,0.5386423,Not Significant
Osteosarcoma,SARC_GENE_089,-0.14763784,0.2903415,0.5370909,Not Significant
Osteosarcoma,SARC_GENE_149,0.16029263,0.29093152,0.5362092,Not Significant
Osteosarcoma,SARC_GENE_014,-0.16776991,0.29329574,0.5326942,Not Significant
Osteosarcoma,SARC_GENE_090,-0.16032076,0.29613,0.5285176,Not Significant
Osteosarcoma,SARC_GENE_134,0.14676476,0.29628113,0.528296,Not Significant
Osteosarcoma,SARC_GENE_165,0.17694378,0.30160242,0.52056515,Not Significant
Osteosarcoma,SARC_GENE_126,0.14583778,0.30818656,0.5111863,Not Significant
Osteosarcoma,SARC_GENE_167,0.14568233,0.31101975,0.50721204,Not Significant
Osteosarcoma,SARC_GENE_174,-0.14132261,0.31713307,0.49875847,Not Significant
Osteosarcoma,SARC_GENE_029,0.16757584,0.32417536,0.48922002,Not Significant
Osteosarcoma,SARC_GENE_020,-0.13595533,0.34128052,0.4668885,Not Significant
Osteosarcoma,SARC_GENE_105,0.14822245,0.3514592,0.45412508,Not Significant
Osteosarcoma,SARC_GENE_111,0.12645388,0.35238948,0.45297706,Not Significant
Osteosarcoma,SARC_GENE_005,0.122909546,0.35295647,0.45227885,Not Significant
Osteosarcoma,SARC_GENE_035,0.13572216,0.3757987,0.42504472,Not Significant
Osteosarcoma,TP53,-0.12175131,0.38688934,0.41241324,Not Significant
Osteosarcoma,SARC_GENE_112,-0.14393854,0.39539903,0.4029644,Not Significant
Osteosarcoma,SARC_GENE_138,0.12367344,0.3955648,0.40278238,Not Significant
Osteosarcoma,SARC_GENE_067,-0.1256218,0.39827043,0.39982194,Not Significant
Osteosarcoma,SARC_GENE_141,-0.12435484,0.4085153,0.38879168,Not Significant
Osteosarcoma,SARC_GENE_001,-0.15302086,0.40875995,0.38853166,Not Significant
Osteosarcoma,SARC_GENE_026,-0.12115431,0.40965843,0.3875781,Not Significant
Osteosarcoma,SARC_GENE_177,-0.118801594,0.4137963,0.3832134,Not Significant
Osteosarcoma,SARC_GENE_119,0.14099789,0.432206,0.3643092,Not Significant
Osteosarcoma,SARC_GENE_069,0.11943722,0.43747443,0.35904732,Not Significant
Osteosarcoma,SARC_GENE_075,0.09085894,0.45524365,0.3417561,Not Significant
Osteosarcoma,SARC_GENE_132,0.12061691,0.45760602,0.33950827,Not Significant
Osteosarcoma,SARC_GENE_162,-0.118281364,0.4677008,0.33003187,Not Significant
Osteosarcoma,SARC_GENE_059,-0.13068295,0.46844417,0.32934216,Not Significant
Osteosarcoma,SARC_GENE_086,-0.12542534,0.4834582,0.31564108,Not Significant
Osteosarcoma,SARC_GENE_046,-0.11154795,0.49229506,0.3077745,Not Significant
Osteosarcoma,SARC_GENE_148,0.11570549,0.49465877,0.30569428,Not Significant
Osteosarcoma,SARC_GENE_023,0.1113925,0.49642482,0.3041465,Not Significant
Osteosarcoma,PTEN,0.09376049,0.5047101,0.29695803,Not Significant
Osteosarcoma,SARC_GENE_006,-0.123012066,0.50663245,0.295307,Not Significant
Osteosarcoma,SARC_GENE_004,-0.10626507,0.5156939,0.287608,Not Significant
Osteosarcoma,SARC_GENE_166,0.08874798,0.5200637,0.28394347,Not Significant
Osteosarcoma,SARC_GENE_032,0.08445692,0.5323374,0.273813,Not Significant
Osteosarcoma,SARC_GENE_106,0.0888896,0.53397524,0.27247888,Not Significant
Osteosarcoma,SARC_GENE_063,-0.090129375,0.54697853,0.26202974,Not Significant
Osteosarcoma,SARC_GENE_156,-0.10293007,0.54882205,0.26056844,Not Significant
Osteosarcoma,SARC_GENE_108,0.09192991,0.55827725,0.25315008,Not Significant
Osteosarcoma,SARC_GENE_031,-0.08702278,0.564287,0.24849994,Not Significant
Osteosarcoma,SARC_GENE_078,0.10095167,0.5704556,0.24377815,Not Significant
Osteosarcoma,SARC_GENE_074,0.08645773,0.5729149,0.24190989,Not Significant
Osteosarcoma,SARC_GENE_097,0.08369541,0.57970035,0.23679642,Not Significant
Osteosarcoma,SARC_GENE_169,-0.08696127,0.5820479,0.23504129,Not Significant
Osteosarcoma,SARC_GENE_104,0.080165386,0.5876927,0.23084973,Not Significant
Osteosarcoma,SARC_GENE_175,0.06788254,0.59621936,0.22459394,Not Significant
Osteosarcoma,SARC_GENE_114,0.08151865,0.5966538,0.22427759,Not Significant
Osteosarcoma,SARC_GENE_043,-0.11480808,0.5968697,0.22412045,Not Significant
Osteosarcoma,SARC_GENE_147,-0.07763338,0.5986014,0.22286227,Not Significant
Osteosarcoma,SARC_GENE_130,-0.08195543,0.60235465,0.22014774,Not Significant
Osteosarcoma,SARC_GENE_025,0.074039936,0.6039623,0.21899018,Not Significant
Osteosarcoma,SARC_GENE_140,0.06977129,0.60581654,0.21765888,Not Significant
Osteosarcoma,SARC_GENE_050,0.08267832,0.6068736,0.21690178,Not Significant
Osteosarcoma,SARC_GENE_103,-0.07912493,0.6097928,0.21481769,Not Significant
Osteosarcoma,SARC_GENE_054,0.08506155,0.62283885,0.2056243,Not Significant
Osteosarcoma,SARC_GENE_118,-0.07164097,0.62316895,0.2053942,Not Significant
Osteosarcoma,SARC_GENE_068,-0.06829119,0.62999094,0.2006657,Not Significant
Osteosarcoma,SARC_GENE_080,0.0742898,0.6375197,0.19550638,Not Significant
Osteosarcoma,SARC_GENE_115,0.06774664,0.6478465,0.18852787,Not Significant
Osteosarcoma,SARC_GENE_161,-0.07331133,0.6554338,0.18347119,Not Significant
Osteosarcoma,SARC_GENE_098,-0.07573557,0.6561258,0.18301289,Not Significant
Osteosarcoma,SARC_GENE_038,-0.07702923,0.6597703,0.18060723,Not Significant
Osteosarcoma,SARC_GENE_013,0.08664036,0.6669691,0.17589428,Not Significant
Osteosarcoma,SARC_GENE_123,-0.054831505,0.6684632,0.17492253,Not Significant
Osteosarcoma,MMP9,0.065158844,0.67887497,0.16821021,Not Significant
Osteosarcoma,SARC_GENE_117,0.050362587,0.68828624,0.16223091,Not Significant
Osteosarcoma,SARC_GENE_168,0.06649828,0.6885421,0.16206948,Not Significant
Osteosarcoma,SARC_GENE_085,0.06662178,0.6903811,0.1609111,Not Significant
Osteosarcoma,SARC_GENE_107,-0.069005966,0.69220024,0.15976825,Not Significant
Osteosarcoma,SARC_GENE_039,0.06493759,0.69701594,0.15675728,Not Significant
Osteosarcoma,SARC_GENE_082,0.06467438,0.70233613,0.15345499,Not Significant
Osteosarcoma,SARC_GENE_002,0.062171936,0.7048907,0.15187821,Not Significant
Osteosarcoma,SARC_GENE_153,-0.054178238,0.70507365,0.15176551,Not Significant
Osteosarcoma,SARC_GENE_042,0.057538986,0.7067157,0.15075526,Not Significant
Osteosarcoma,SARC_GENE_047,0.064857006,0.71103793,0.14810723,Not Significant
Osteosarcoma,SARC_GENE_125,0.059329987,0.7187108,0.14344583,Not Significant
Osteosarcoma,SARC_GENE_143,0.06535244,0.727448,0.13819806,Not Significant
Osteosarcoma,SARC_GENE_101,-0.047637463,0.74774,0.1262494,Not Significant
Osteosarcoma,SARC_GENE_095,0.05961466,0.7501871,0.12483041,Not Significant
Osteosarcoma,SARC_GENE_146,0.055906773,0.75624406,0.12133802,Not Significant
Osteosarcoma,SARC_GENE_040,-0.047427654,0.7578427,0.12042092,Not Significant
Osteosarcoma,SARC_GENE_087,0.046459675,0.77657497,0.10981662,Not Significant
Osteosarcoma,SARC_GENE_176,0.044575214,0.7793141,0.10828747,Not Significant
Osteosarcoma,SARC_GENE_024,0.044219017,0.78168315,0.10696925,Not Significant
Osteosarcoma,SARC_GENE_052,0.046525,0.7867874,0.10414261,Not Significant
Osteosarcoma,SARC_GENE_152,-0.040788174,0.79685014,0.09862335,Not Significant
Osteosarcoma,SARC_GENE_144,0.040495872,0.8054861,0.093941964,Not Significant
Osteosarcoma,SARC_GENE_110,0.044684887,0.8157447,0.088445745,Not Significant
Osteosarcoma,CCND1,-0.03319168,0.8173295,0.08760282,Not Significant
Osteosarcoma,RB1,-0.036625862,0.82287997,0.08466351,Not Significant
Osteosarcoma,SARC_GENE_145,-0.030128479,0.82642096,0.08279868,Not Significant
Osteosarcoma,SARC_GENE_007,0.032443047,0.8356426,0.077979445,Not Significant
Osteosarcoma,SARC_GENE_081,-0.030601978,0.8499127,0.07062568,Not Significant
Osteosarcoma,SARC_GENE_151,-0.028081417,0.8521149,0.06950183,Not Significant
Osteosarcoma,SARC_GENE_160,0.03367424,0.85557526,0.06774178,Not Significant
Osteosarcoma,SARC_GENE_158,-0.03096056,0.85593724,0.06755807,Not Significant
Osteosarcoma,SARC_GENE_139,-0.026192665,0.86191744,0.06453434,Not Significant
Osteosarcoma,SARC_GENE_100,-0.029565334,0.86416906,0.06340129,Not Significant
Osteosarcoma,SARC_GENE_096,-0.027124882,0.8649517,0.06300813,Not Significant
Osteosarcoma,SARC_GENE_070,-0.028994083,0.864997,0.06298538,Not Significant
Osteosarcoma,SARC_GENE_121,0.023828506,0.86695826,0.062001813,Not Significant
Osteosarcoma,SARC_GENE_155,-0.028743267,0.8697679,0.060596626,Not Significant
Osteosarcoma,SARC_GENE_127,0.019385815,0.87554485,0.057721607,Not Significant
Osteosarcoma,SARC_GENE_163,0.017296791,0.88473535,0.05318662,Not Significant
Osteosarcoma,SARC_GENE_102,-0.022575855,0.8895392,0.050834917,Not Significant
Osteosarcoma,SARC_GENE_094,0.022934437,0.89189124,0.0496881,Not Significant
Osteosarcoma,SARC_GENE_133,0.015368462,0.8972084,0.047106676,Not Significant
Osteosarcoma,SARC_GENE_056,0.018975735,0.89723325,0.047094643,Not Significant
Osteosarcoma,SARC_GENE_055,-0.021844387,0.89852893,0.046467934,Not Significant
Osteosarcoma,SARC_GENE_136,-0.023204803,0.8994699,0.046013363,Not Significant
Osteosarcoma,SARC_GENE_079,-0.022817135,0.9001708,0.045675077,Not Significant
Osteosarcoma,SARC_GENE_083,0.02009058,0.9028142,0.044401612,Not Significant
Osteosarcoma,SARC_GENE_009,-0.013417244,0.9269543,0.03294166,Not Significant
Osteosarcoma,SARC_GENE_033,-0.011165142,0.9315525,0.030792652,Not Significant
Osteosarcoma,SARC_GENE_019,0.01002121,0.9381636,0.027721433,Not Significant
Osteosarcoma,SARC_GENE_093,0.010735035,0.9405915,0.026598945,Not Significant
Osteosarcoma,SARC_GENE_053,-0.010192394,0.94622785,0.024004275,Not Significant
Osteosarcoma,SARC_GENE_072,0.0073256493,0.95877606,0.01828282,Not Significant
Osteosarcoma,SARC_GENE_180,0.006325245,0.9682899,0.013994594,Not Significant
Osteosarcoma,SARC_GENE_003,-0.0037045479,0.97569096,0.010687719,Not Significant
Osteosarcoma,SARC_GENE_150,0.0023579597,0.98780525,0.005328671,Not Significant
Osteosarcoma,SARC_GENE_154,0.0015544891,0.99260664,0.003222824,Not Significant
Osteosarcoma,SARC_GENE_057,0.0009202957,0.99484473,0.0022446944,Not Significant
Osteosarcoma,SARC_GENE_036,0.00053453445,0.99744606,0.0011105807,Not Significant
Leiomyosarcoma,MYH11,2.9631076,1.8785629e-27,26.726173,Upregulated
Leiomyosarcoma,CNN1,2.8924356,7.4103616e-25,24.130161,Upregulated
Leiomyosarcoma,ACTA2,3.2183213,2.9255204e-24,23.533796,Upregulated
Leiomyosarcoma,TAGLN,3.0965047,3.501813e-24,23.455708,Upregulated
Leiomyosarcoma,CALD1,2.1231523,3.7749743e-24,23.423086,Upregulated
Leiomyosarcoma,TPM2,2.2420006,5.9170704e-20,19.227894,Upregulated
Leiomyosarcoma,MYLK,2.309474,1.8404376e-19,18.735079,Upregulated
Leiomyosarcoma,DES,1.383389,4.6927495e-10,9.328572,Upregulated
Leiomyosarcoma,FABP4,-1.1658034,1.0584593e-07,6.975326,Downregulated
Leiomyosarcoma,CDK4,-1.0113497,7.725656e-07,6.112065,Downregulated
Leiomyosarcoma,MYOD1,-1.0009761,1.9611534e-06,5.7074885,Downregulated
Leiomyosarcoma,ALPL,-1.0777702,2.1535557e-06,5.666844,Downregulated
Leiomyosarcoma,COL1A1,-0.9454794,2.27089e-06,5.643804,Not Significant
Leiomyosarcoma,MDM2,-1.0396233,3.8218404e-06,5.4177275,Downregulated
Leiomyosarcoma,SP7,-0.84402084,1.4100772e-05,4.850757,Not Significant
Leiomyosarcoma,MMP13,-0.70944643,1.8272614e-05,4.738199,Not Significant
Leiomyosarcoma,PAX7,-0.9246807,1.8373616e-05,4.7358055,Not Significant
Leiomyosarcoma,MYOG,-1.0949726,2.0760146e-05,4.68277,Downregulated
Leiomyosarcoma,MYF5,-0.78694916,2.5672281e-05,4.5905356,Not Significant
Leiomyosarcoma,TNNT3,-0.85165644,3.58868e-05,4.4450655,Not Significant
Leiomyosarcoma,PAX3,-0.8118472,4.7202986e-05,4.3260307,Not Significant
Leiomyosarcoma,LPL,-0.7832217,9.910628e-05,4.0038986,Not Significant
Leiomyosarcoma,RUNX2,-0.952446,0.00012696558,3.896314,Not Significant
Leiomyosarcoma,MYH3,-0.73859215,0.00015724484,3.8034236,Not Significant
Leiomyosarcoma,HMGA2,-0.6927271,0.00029146267,3.535417,Not Significant
Leiomyosarcoma,PPARG,-0.756763,0.00041649773,3.3803873,Not Significant
Leiomyosarcoma,CEBPA,-0.67864895,0.00046298353,3.3344345,Not Significant
Leiomyosarcoma,ADIPOQ,-0.7280674,0.00061138347,3.2136862,Not Significant
Leiomyosarcoma,IBSP,-0.7458453,0.0006322345,3.1991217,Not Significant
Leiomyosarcoma,BGLAP,-0.64458656,0.0008788373,3.0560915,Not Significant
Leiomyosarcoma,VEGFA,-0.65410995,0.0014112848,2.8503854,Not Significant
Leiomyosarcoma,SARC_GENE_069,-0.37653112,0.008720297,2.0594687,Not Significant
Leiomyosarcoma,SARC_GENE_154,-0.43021727,0.0107756695,1.9675558,Not Significant
Leiomyosarcoma,SARC_GENE_024,-0.43762255,0.011553533,1.9372852,Not Significant
Leiomyosarcoma,SARC_GENE_023,-0.34944773,0.011622561,1.9346981,Not Significant
Leiomyosarcoma,SARC_GENE_045,0.35066557,0.011961873,1.9222008,Not Significant
Leiomyosarcoma,SARC_GENE_111,-0.34885502,0.014932959,1.8258541,Not Significant
Leiomyosarcoma,SARC_GENE_106,-0.3658719,0.029423175,1.5313104,Not Significant
Leiomyosarcoma,SARC_GENE_180,-0.34557772,0.037189264,1.4295824,Not Significant
Leiomyosarcoma,SARC_GENE_001,0.32706165,0.038363323,1.4160838,Not Significant
Leiomyosarcoma,SARC_GENE_057,0.31496668,0.04925595,1.3075414,Not Significant
Leiomyosarcoma,SARC_GENE_060,-0.31613684,0.04944909,1.3058417,Not Significant
Leiomyosarcoma,SARC_GENE_013,0.32020378,0.05206593,1.2834463,Not Significant
Leiomyosarcoma,SARC_GENE_054,-0.2715888,0.058549445,1.2324772,Not Significant
Leiomyosarcoma,SARC_GENE_128,-0.2898202,0.06332395,1.198432,Not Significant
Leiomyosarcoma,SARC_GENE_171,-0.2943015,0.06578133,1.1818974,Not Significant
Leiomyosarcoma,SARC_GENE_130,-0.23947906,0.071244396,1.1472493,Not Significant
Leiomyosarcoma,SARC_GENE_056,0.26660967,0.07136524,1.1465133,Not Significant
Leiomyosarcoma,SARC_GENE_149,-0.2826476,0.077670455,1.1097442,Not Significant
Leiomyosarcoma,SARC_GENE_010,-0.29975176,0.087933525,1.0558455,Not Significant
Leiomyosarcoma,SARC_GENE_084,-0.22948503,0.09926882,1.0031872,Not Significant
Leiomyosarcoma,SARC_GENE_097,-0.24457216,0.09992046,1.0003456,Not Significant
Leiomyosarcoma,SARC_GENE_039,0.22079563,0.115016446,0.93924004,Not Significant
Leiomyosarcoma,SARC_GENE_120,0.23295546,0.11687508,0.9322781,Not Significant
Leiomyosarcoma,SARC_GENE_055,0.24222422,0.13658057,0.864611,Not Significant
Leiomyosarcoma,SARC_GENE_125,0.24827766,0.14217234,0.8471849,Not Significant
Leiomyosarcoma,SARC_GENE_131,0.22815561,0.14355822,0.8429719,Not Significant
Leiomyosarcoma,SARC_GENE_104,0.21684933,0.15477692,0.8102938,Not Significant
Leiomyosarcoma,SARC_GENE_116,0.23453617,0.15569903,0.8077141,Not Significant
Leiomyosarcoma,SARC_GENE_096,0.23214006,0.16449693,0.7838422,Not Significant
Leiomyosarcoma,SARC_GENE_147,0.22402048,0.1661016,0.7796262,Not Significant
Leiomyosarcoma,SARC_GENE_070,-0.22871399,0.17552914,0.75565076,Not Significant
Leiomyosarcoma,SARC_GENE_086,0.21585846,0.17683904,0.75242186,Not Significant
Leiomyosarcoma,SARC_GENE_108,-0.21654797,0.17889236,0.7474082,Not Significant
Leiomyosarcoma,SARC_GENE_095,-0.2238183,0.18491498,0.73302794,Not Significant
Leiomyosarcoma,SARC_GENE_098,-0.18823671,0.18508771,0.73262244,Not Significant
Leiomyosarcoma,SARC_GENE_059,-0.18892717,0.20208056,0.6944755,Not Significant
Leiomyosarcoma,SARC_GENE_146,0.199862,0.20568901,0.6867889,Not Significant
Leiomyosarcoma,SARC_GENE_038,0.18872976,0.21018593,0.67739636,Not Significant
Leiomyosarcoma,SARC_GENE_093,-0.1893053,0.21344025,0.6707237,Not Significant
Leiomyosarcoma,SARC_GENE_129,0.190804,0.21697998,0.66358036,Not Significant
Leiomyosarcoma,SARC_GENE_052,0.2224555,0.22142172,0.6547798,Not Significant
Leiomyosarcoma,SARC_GENE_083,0.20658779,0.2259013,0.64608127,Not Significant
Leiomyosarcoma,SARC_GENE_144,0.18241835,0.22605304,0.6457896,Not Significant
Leiomyosarcoma,SARC_GENE_178,-0.18664265,0.23038948,0.63753736,Not Significant
Leiomyosarcoma,SARC_GENE_005,0.20045137,0.23799047,0.62344044,Not Significant
Leiomyosarcoma,SARC_GENE_049,-0.15355349,0.25166088,0.5991843,Not Significant
Leiomyosarcoma,SARC_GENE_036,-0.16059256,0.2531273,0.59666103,Not Significant
Leiomyosarcoma,SARC_GENE_090,0.19685888,0.25715002,0.5898135,Not Significant
Leiomyosarcoma,SARC_GENE_048,-0.17704773,0.25837806,0.58774436,Not Significant
Leiomyosarcoma,SARC_GENE_148,0.18198442,0.26067778,0.58389604,Not Significant
Leiomyosarcoma,SARC_GENE_025,-0.15945816,0.26628467,0.57465386,Not Significant
Leiomyosarcoma,BCL2,-0.18504763,0.26657712,0.57417715,Not Significant
Leiomyosarcoma,SARC_GENE_016,-0.16899729,0.2682232,0.5715037,Not Significant
Leiomyosarcoma,SARC_GENE_087,-0.18601465,0.27103427,0.56697583,Not Significant
Leiomyosarcoma,SARC_GENE_072,0.13659763,0.2796539,0.5533791,Not Significant
Leiomyosarcoma,SARC_GENE_044,-0.19541597,0.28323033,0.54786026,Not Significant
Leiomyosarcoma,SARC_GENE_179,-0.15349436,0.28784156,0.5408465,Not Significant
Leiomyosarcoma,SARC_GENE_029,-0.16330671,0.28976077,0.5379604,Not Significant
Leiomyosarcoma,SARC_GENE_105,-0.16633081,0.30163085,0.52052426,Not Significant
Leiomyosarcoma,SARC_GENE_115,-0.14482737,0.30958274,0.5092232,Not Significant
Leiomyosarcoma,SARC_GENE_003,-0.13757992,0.33164757,0.47932318,Not Significant
Leiomyosarcoma,SARC_GENE_019,0.15129662,0.33317912,0.47732222,Not Significant
Leiomyosarcoma,SARC_GENE_015,-0.15693617,0.3342915,0.4758747,Not Significant
Leiomyosarcoma,SARC_GENE_134,0.15166426,0.3343259,0.47582996,Not Significant
Leiomyosarcoma,SARC_GENE_041,-0.14245081,0.3343508,0.47579765,Not Significant
Leiomyosarcoma,SARC_GENE_156,0.15940905,0.3356475,0.4741166,Not Significant
Leiomyosarcoma,SARC_GENE_160,-0.13415241,0.33623877,0.47335222,Not Significant
Leiomyosarcoma,SARC_GENE_175,0.12966871,0.34875163,0.45748377,Not Significant
Leiomyosarcoma,SARC_GENE_030,0.13854647,0.3548089,0.4500055,Not Significant
Leiomyosarcoma,SARC_GENE_073,0.1484909,0.35537106,0.44931793,Not Significant
